URL,Question,Answer
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,"On defense, Morgan Rielly will shift next to Chris Tanev and Oliver Ekman-Larsson next to Philippe Myers (a new pairing this season),a move Anthony Petrielli advocated for in his recent notebook:","With Jake McCabe on IR, I’d like to see a bit more of a shake-up… The OEL-Tanev pairing wasn’t particularly strong in terms of driving play up ice, and they didn’t really bring out the best in each other (OEL wasn’t potent offensively, and Tanev wasn’t dictating play up ice as he normally does). I’d rather try Rielly-Tanev as a top pairing, considering they already saw time together and meshed much more naturally to me. It would then bump OEL to play with Myers while keeping the Benoit – Timmins pairing together. There is still familiarity with two of those pairings, and I think the combo of Rielly-Tanev gives them the best possible pairing overal. But it’s possible the other two pairings won’t be good enough to allow them to keep Rielly and Tanev together, and Tanev shouldn’t be playing 22+ minutes at this point. Still, I’d like a longer look at this pairing."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Rod Brind’Amour on Craig Berube’s coaching style:,"He never took a shift off, and that’s carried over into his coaching. It doesn’t matter if you’re a great player or a fringe player; there is an expectation to play hard every shift. That’s non-negotiable. He went to the wall for his teammates when he played. He would stand up for anybody. That doesn’t change when you’re a coach. I’m sure it’s the same. I think the players understand that, and that’s why they respect you. The biggest thing in coaching is getting that respect from your players. If they respect you and they respect what you’re talking about, they’ll play hard for you and try to do what you want. That seems to be the case with him and his players."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Craig Berube on Rod Brind’Amour’s coaching success in Carolina:,"He has done a great job here. How he played as a player is what he has brought to the team: the work ethic, they’re a great faceoff team — Roddy was a great faceoff guy — and a great penalty killer. He was a good power-play guy, too. He was good in all facets of the game. He has brought that to his team. His teams are about pressure and work. They don’t give you any time or space."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Steven Lorentz on his memories of playing for Brind’Amour in Carolina:,"I learned a lot. It was how I broke into the league. He is a tremendous coach and a guy who has played well over 1,000 games. He has seen everything and been there, done that. It is easy to learn from a guy who has been through those experiences. He made it so easy to play for him as long as you were playing hard. He was one of my favourite coaches. I definitely miss him, but he is the enemy tonight, so I am not going to take it easy on him tonight."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Lorentz on the similarities between Brind’Amour and Berube’s coaching styles:,"There are a lot, actually, and same with Paul Maurice last year. You play hard. You have your systems you fall back on and rely on, and you definitely need that structure, but at the end of the day, hockey is a game of mistakes. As long as you are making those mistakes when doing things hard — Brind’Amour preached that, and Berube preaches it, too. It is all about putting your foot to the gas. Mistakes are going to happen, but it is about playing through that."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Berube on the challenge presented by the Hurricanes:,"They’ve always been a tough opponent. They’ve been a really good team for a while now. They have some great players over there. It’s the pressure they come with. They’re a hard-working team. They work as hard as any team in the league. There is just no room. They don’t give you much room. You have to win your battles. There are a few things we have to do to try to create some space out there tonight and be patient. Composure, patience, and discipline are going to be key in this game."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Berube on assembling a Morgan Rielly-Chris Tanev pairing:,"A lot of it is [Carolina’s] lineup. They are pretty spread out with three lines. We need some balance with our D pairs tonight going against them. They have some good skill on each line with size — Necas, Svechhnikov, Staal. They have it spread out pretty well."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Rielly on joining a pairing with Tanev:,"We want to play well together, move the puck, and not spend too much time in the defensive zone. When there are D who are out, things get shifted around, and you play with different guys. Chris and I want to be strong defensively and move the puck quickly to get going up ice."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Berube on reinserting Nick Robertson and Pontus Holmberg and scratching Max Pacioretty:,"A little more speed tonight. It is going to be a fast game. We talked about it before when guys sit out, and we want to get them back in. Holmberg has been sitting for a bit. He was sick, and he is back now. I wanted to make the switch."
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Matthew Knies on the recent success of his line with Auston Matthews and Mitch Marner:,"I like our competitiveness. We are working hard and getting pucks back from their D. Our forecheck has been really good, and we have been capitalizing on our chances."
